,date,benchmark,bench_return
267,2016-01-26,S&P 500,0.014146401930000004
268,2016-01-27,S&P 500,-0.01079868608
269,2016-01-28,S&P 500,0.005618057290000001
270,2016-01-29,S&P 500,0.02478058791
271,2016-02-01,S&P 500,-0.00041286862
272,2016-02-02,S&P 500,-0.01871433108
273,2016-02-03,S&P 500,0.0053363679599999995
274,2016-02-04,S&P 500,0.0017263254300000001
275,2016-02-05,S&P 500,-0.01842778966
276,2016-02-08,S&P 500,-0.014062373819999998
277,2016-02-09,S&P 500,-0.00045270503
278,2016-02-10,S&P 500,0.00015410401000000003
279,2016-02-11,S&P 500,-0.01211551321
280,2016-02-12,S&P 500,0.01962655766
281,2016-02-16,S&P 500,0.0168504949
282,2016-02-17,S&P 500,0.01658526607
283,2016-02-18,S&P 500,-0.0046131702500000005
284,2016-02-19,S&P 500,0.00011854718999999999
285,2016-02-22,S&P 500,0.01445391013
286,2016-02-23,S&P 500,-0.01239373306
287,2016-02-24,S&P 500,0.004491252070000001
288,2016-02-25,S&P 500,0.01158991206
289,2016-02-26,S&P 500,-0.0017535985899999995
290,2016-02-29,S&P 500,-0.00802906246
291,2016-03-01,S&P 500,0.02388638917
292,2016-03-02,S&P 500,0.00428023914
293,2016-03-03,S&P 500,0.00360110311
294,2016-03-04,S&P 500,0.00332688023
295,2016-03-07,S&P 500,0.00095196115
296,2016-03-08,S&P 500,-0.01105480912
297,2016-03-09,S&P 500,0.00522567008
298,2016-03-10,S&P 500,0.00021849877999999997
299,2016-03-11,S&P 500,0.01667756501
300,2016-03-14,S&P 500,-0.0011960226600000001
301,2016-03-15,S&P 500,-0.00181978186
302,2016-03-16,S&P 500,0.005666591800000001
303,2016-03-17,S&P 500,0.00660699342
304,2016-03-18,S&P 500,0.00440344144
305,2016-03-21,S&P 500,0.00099123103
306,2016-03-22,S&P 500,-0.0007241465199999999
307,2016-03-23,S&P 500,-0.006383835010000001
308,2016-03-24,S&P 500,-0.00037732718999999995
309,2016-03-28,S&P 500,0.0005543864
310,2016-03-29,S&P 500,0.00902198006
311,2016-03-30,S&P 500,0.00445416435
312,2016-03-31,S&P 500,-0.00203619017
313,2016-04-01,S&P 500,0.006338603149999999
314,2016-04-04,S&P 500,-0.0029912270000000004
315,2016-04-05,S&P 500,-0.01014342373
316,2016-04-06,S&P 500,0.01087366695
317,2016-04-07,S&P 500,-0.011941012800000001
318,2016-04-08,S&P 500,0.0027963878499999996
319,2016-04-11,S&P 500,-0.00274032799
320,2016-04-12,S&P 500,0.00969478804
321,2016-04-13,S&P 500,0.01019162474
322,2016-04-14,S&P 500,0.00027400099999999995
323,2016-04-15,S&P 500,-0.0009843205599999998
324,2016-04-18,S&P 500,0.00655929282
325,2016-04-19,S&P 500,0.00308374055
326,2016-04-20,S&P 500,0.0008182555900000001
327,2016-04-21,S&P 500,-0.00516630842
328,2016-04-22,S&P 500,5.08523e-05
329,2016-04-25,S&P 500,-0.00180954421
330,2016-04-26,S&P 500,0.00186995158
331,2016-04-27,S&P 500,0.00172558741
332,2016-04-28,S&P 500,-0.00916312317
333,2016-04-29,S&P 500,-0.005055095389999999
334,2016-05-02,S&P 500,0.00781876848
335,2016-05-03,S&P 500,-0.008650964609999999
336,2016-05-04,S&P 500,-0.005723181389999999
337,2016-05-05,S&P 500,1.64532e-06
338,2016-05-06,S&P 500,0.00330920532
339,2016-05-09,S&P 500,0.0007631407000000001
340,2016-05-10,S&P 500,0.012502145790000002
341,2016-05-11,S&P 500,-0.0090397776
342,2016-05-12,S&P 500,-7.249425999999999e-05
343,2016-05-13,S&P 500,-0.00839874089
344,2016-05-16,S&P 500,0.00989735978
345,2016-05-17,S&P 500,-0.00910449857
346,2016-05-18,S&P 500,0.00035445887000000003
347,2016-05-19,S&P 500,-0.00369624437
348,2016-05-20,S&P 500,0.006178867629999999
349,2016-05-23,S&P 500,-0.0020493571
350,2016-05-24,S&P 500,0.013704602400000002
351,2016-05-25,S&P 500,0.0070359318500000005
352,2016-05-26,S&P 500,-6.972496e-05
353,2016-05-27,S&P 500,0.00446622707
354,2016-05-31,S&P 500,-0.00093777179
355,2016-06-01,S&P 500,0.0013007724699999998
356,2016-06-02,S&P 500,0.0029423049100000005
357,2016-06-03,S&P 500,-0.00289983907
358,2016-06-06,S&P 500,0.00492246046
359,2016-06-07,S&P 500,0.0013107804399999999
360,2016-06-08,S&P 500,0.0035153673
361,2016-06-09,S&P 500,-0.00167452728
362,2016-06-10,S&P 500,-0.00916092678
363,2016-06-13,S&P 500,-0.00781900828
364,2016-06-14,S&P 500,-0.0017307866600000002
365,2016-06-15,S&P 500,-0.00176119175
366,2016-06-16,S&P 500,0.0032976283100000004
367,2016-06-17,S&P 500,-0.0032548106700000003
368,2016-06-20,S&P 500,0.00581552045
369,2016-06-21,S&P 500,0.0028009404600000004
370,2016-06-22,S&P 500,-0.00164247043
371,2016-06-23,S&P 500,0.01337714032
372,2016-06-24,S&P 500,-0.03592237335
373,2016-06-27,S&P 500,-0.01809651363
374,2016-06-28,S&P 500,0.01799256833
375,2016-06-29,S&P 500,0.01716148322
376,2016-06-30,S&P 500,0.013564157750000002
377,2016-07-01,S&P 500,0.00213506517
378,2016-07-05,S&P 500,-0.00677933907
379,2016-07-06,S&P 500,0.005707934
380,2016-07-07,S&P 500,-0.0007731038400000001
381,2016-07-08,S&P 500,0.015256717740000003
382,2016-07-11,S&P 500,0.00340943093
383,2016-07-12,S&P 500,0.007014820209999999
384,2016-07-13,S&P 500,0.00022641154999999998
385,2016-07-14,S&P 500,0.005281151899999999
386,2016-07-15,S&P 500,-0.00092718855
387,2016-07-18,S&P 500,0.00242251866
388,2016-07-19,S&P 500,-0.00141066272
389,2016-07-20,S&P 500,0.0043950967
390,2016-07-21,S&P 500,-0.00359554817
391,2016-07-22,S&P 500,0.00455889058
392,2016-07-25,S&P 500,-0.00300595883
393,2016-07-26,S&P 500,0.00035216322
394,2016-07-27,S&P 500,-0.0011605331699999998
395,2016-07-28,S&P 500,0.00169198166
396,2016-07-29,S&P 500,0.0016456784900000002
397,2016-08-01,S&P 500,-0.00126984713
398,2016-08-02,S&P 500,-0.0063355878299999994
399,2016-08-03,S&P 500,0.00344148569
400,2016-08-04,S&P 500,0.00046473782999999994
401,2016-08-05,S&P 500,0.008624031209999999
402,2016-08-08,S&P 500,-0.0008146155400000001
403,2016-08-09,S&P 500,0.00042861758
404,2016-08-10,S&P 500,-0.00249421739
405,2016-08-11,S&P 500,0.00486783188
406,2016-08-12,S&P 500,-0.00074524896
407,2016-08-15,S&P 500,0.00291284887
408,2016-08-16,S&P 500,-0.00530229445
409,2016-08-17,S&P 500,0.0021169463
410,2016-08-18,S&P 500,0.00222716957
411,2016-08-19,S&P 500,-0.00130418131
412,2016-08-22,S&P 500,-0.00054470907
413,2016-08-23,S&P 500,0.00197926115
414,2016-08-24,S&P 500,-0.0051862633100000005
415,2016-08-25,S&P 500,-0.00134860661
416,2016-08-26,S&P 500,-0.0015554185999999998
